Timestamp,Alter,Geschlecht,"Bitte gib hier ein Pseudonym ein und merke dir dieses (z.B. Kürzel, Zahlencode, etc.). Damit können nach Abschluss des Projektes der eigene ""Datenpunkt"" gefunden werden. Das Pseudonym wird für Andere sichtbar sein.",Welcher Funktion an der HSD fühlst du dich am meisten zugehörig?,Welchem Studiengang fühlst du dich am meisten zugehörig?,Als wie sportlich würdest du dich einschätzen?,Welche Sportarten interessieren dich am meisten (wähle maximal 5)?,Was ist deine absolute Lieblingssportart?,Welche Rolle spielt für dich gesunde Ernährung? ,Wie gerne gehst du Essen oder Trinken?,Wie gerne kochst du selbst?,Wie gerne gehst du feiern?,Was ist dein Lieblingsessen? (nur eines angeben),Wie sehr interessierst du dich für Musik?,Was ist deine Lieblingsband bzw. dein/e Lieblings-Musiker*in? (nur eine/n angeben),Wie gerne liest Du?,"Wie sehr interessierst du dich für darstellende Künste wie Schauspiel, Tanz oder Gesang?","Wie sehr interessierst du sich für Filme, Kino, Fernsehsendungen?","Wie sehr interessierst du dich für bildende Kunst wie Malen, Zeichnen oder Fotografie?",Wie gerne besuchst du Museen?,Wie sehr interessierst du dich für Videospiele?,Wie häufig nutzt du soziale Medien?,"Wie groß ist dein Interesse an Technologie und Innovation, wie beispielsweise Programmierung, Robotik und Virtual Reality?","Wie groß ist dein Interesse an Astronomie, Weltraumforschung oder astronomiebezogenen Aktivitäten?","Wie groß ist dein Interesse an Naturwissenschaften wie Biologie, Chemie und Physik?",Wie sehr interessierst du sich für gesellschaftliches Engagement und Freiwilligenarbeit?,"Wie groß ist dein Interesse an sozialen Themen wie Vielfalt, Gleichberechtigung und soziale Gerechtigkeit?",Würdest du dich selbst als introvertiert/extrovertiert bezeichnen?,"Hast du häufig Angst etwas zu verpassen, wenn du nicht unter Menschen bist?",Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [spontan],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [verwirrt],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [glücklich],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [geduldig],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [streitlustig],Wie … schätzt Du dich selbst ein? (1 gar nicht - 5 sehr) [abenteuerlustig],"Hattest du schon einmal Zweifel daran, ob du dein Studium schaffen kannst?",Wie zufrieden bist du mit deinem Studium? ,Strebst du nach dem Studium auch weiterhin eine akademische Laufbahn an?,Wie gern lernst Du in der Gruppe?,"Prokrastinierst du, wenn du lernen müsstest?",Wie häufig machst du Abgaben auf den letzten Drücker?,Wie gerne probierst du neue Lebensmittel aus?,Wie häufig verbringst du Zeit in der Natur (z. B. beim Wandern oder Camping)?,Wie häufig verreist du?,Wie interessiert bist du an handwerklichen Tätigkeiten?,Wie gerne magst du Sprachnachrichten?,Wie wichtig ist es dir viel Geld zu verdienen?
2023/06/06 11:10:12 AM GMT+3,20,männlich,2111,Student*in,DAISY,4,Basketball;Fußball;Volleyball,Weiss nicht,4,5,2,3,Koreanisches Dakgangjeong,5,Dominic Fike,1,2,3,4,4,2,5,4,4,2,2,3,4,1,4,3,3,3,1,3,3,3,4,2,4,3,5,1,2,1,4,3
2023/06/06 11:15:58 AM GMT+3,19,männlich,Ismail,Student*in,DAISY,4,Basketball;Fußball;Kampfsport;Leichtathletik;Schwimmen,Kampfsport,4,3,5,1,Döner,2,Redlion,5,1,3,2,2,4,4,5,5,5,2,2,3,2,3,2,4,3,1,4,1,4,2,1,4,5,5,2,3,3,2,5
2023/06/06 11:33:25 AM GMT+3,23,männlich,bangnon123,Student*in,DAISY,4,Fußball;Football;Hockey,Football,3,4,5,4,Asiatische Nudeln,5,James Arthur,2,3,4,3,3,5,5,5,2,5,3,4,4,4,4,3,5,3,3,3,3,5,3,5,3,3,3,2,4,3,4,5
2023/06/06 11:40:05 AM GMT+3,24,männlich,eprotizu,Student*in,DAISY,4,Basketball;Fußball;Volleyball;Yoga;Kampfsport,Thaiboxen,4,4,4,2,Hühnchen,3,eminem,4,2,2,2,3,4,3,5,4,4,2,1,3,2,4,2,4,3,1,4,2,4,1,2,4,4,4,4,1,2,5,4
2023/06/06 12:09:00 PM GMT+3,19,männlich,sekkuro,Student*in,DAISY,5,Basketball;Volleyball;Tanzen;Leichtathletik;Bouldern/Klettern,Calisthenics ,3,5,3,1,Curry,4,Jakey,5,4,5,2,4,5,5,3,4,3,2,5,2,3,2,4,4,4,2,3,5,2,2,2,5,5,3,2,2,4,5,5
2023/06/06 12:22:39 PM GMT+3,23,männlich,420,Student*in,DAISY,4,Basketball;Kampfsport;Schwimmen,Calesthenics,4,4,4,2,Burger,4,Apache207,1,1,3,2,2,5,5,5,4,4,1,4,2,4,3,4,5,3,2,4,5,5,1,3,5,5,5,3,3,3,5,5
2023/06/06 12:46:28 PM GMT+3,28,weiblich,123,Student*in,DAISY,3,Yoga;Tanzen;Bouldern/Klettern;Wassersport,Tauchen,3,4,3,4,Pfannkuchen,4,Antilopen Gang,5,4,4,4,4,4,3,5,4,5,4,5,3,4,3,3,3,4,2,4,2,3,5,2,4,3,4,3,3,4,2,4
2023/06/06 2:41:01 PM GMT+3,25,männlich,AOoOA,Student*in,DAISY,2,Basketball;Fußball;Rennrad/Mountainbike,Tisch-Tennis ,4,5,3,3,Burger,4,Drake,3,4,3,4,2,2,5,5,5,2,3,5,3,3,5,3,4,3,1,4,4,4,4,2,4,4,5,3,1,5,2,5
2023/06/06 3:39:00 PM GMT+3,27,männlich,Heartist,Student*in,DAISY,2,Fußball;Volleyball;Bouldern/Klettern;Schwimmen;Rennrad/Mountainbike,Tischtennis,3,4,5,4,Risotto,5,I Prevail,2,2,5,3,4,3,4,3,4,2,4,5,3,5,4,3,4,2,1,5,4,4,4,5,5,5,5,4,4,2,2,1
2023/06/06 8:09:15 PM GMT+3,25,weiblich,dotf_23,Student*in,MMI,3,Basketball;Volleyball;Kampfsport;Leichtathletik,Basketball,3,3,4,2,Burger,4,Bad Omens,4,2,3,3,3,4,3,4,2,2,3,4,2,2,3,4,3,3,2,2,3,3,3,5,5,5,3,2,2,2,2,3
2023/06/06 8:23:47 PM GMT+3,25,weiblich,FB42,Student*in,MMI,4,Basketball;Fußball;Bouldern/Klettern,Fußball,3,3,4,2,Pizza,4,Provinz,5,2,5,3,3,3,3,4,2,3,3,4,2,3,3,1,4,5,2,4,2,4,1,4,3,3,4,3,3,2,2,2
2023/06/06 9:58:06 PM GMT+3,23,männlich,7bpf8,Student*in,DAISY,3,Basketball;Football;Schwimmen,Schwimmen,4,5,4,4,Burger,3,Post Malone,2,2,4,3,2,5,5,5,2,3,3,3,4,4,3,2,4,4,2,3,3,4,2,3,2,2,4,3,3,4,4,4
2023/06/07 1:13:11 AM GMT+3,18,männlich,5714,Student*in,DAISY,5,Basketball;Fußball;Football;Volleyball;Tennis,Fußball,3,4,3,4,Pizza,4,Juice WRLD,2,2,4,1,2,3,4,4,4,2,2,2,2,3,3,2,4,3,2,2,3,4,3,3,4,4,2,2,3,1,4,4
2023/06/07 12:04:53 PM GMT+3,22,männlich,MBH22,Student*in,DAISY,3,Basketball;Fußball;Volleyball;Kampfsport;Schwimmen,Basketball ,4,3,5,4,Reis mit Sojasoße Hähnchen,4,Avenged Sevenfold,2,4,4,4,2,5,5,5,4,3,3,2,3,2,2,2,3,4,3,4,3,3,1,4,5,2,4,2,4,5,3,5
2023/06/07 12:13:17 PM GMT+3,22,männlich,yeet,Student*in,DAISY,3,Basketball;Kampfsport;Bouldern/Klettern;Schwimmen;Rennrad/Mountainbike,Radfahren,5,3,5,2,,3,,2,1,2,4,3,5,2,5,5,4,2,2,3,2,4,2,5,3,1,5,4,3,5,3,4,3,4,5,3,2,2,3
2023/06/07 3:53:27 PM GMT+3,28,männlich,nomercy,Student*in,MMI,5,Fußball,Fitness,5,4,4,5,Döner,5,Klangkuenstler,3,1,5,1,3,1,4,4,1,2,1,1,3,2,2,1,5,4,3,4,1,4,1,3,5,5,3,4,3,1,4,3
2023/06/07 3:56:42 PM GMT+3,24,männlich,agalper,Student*in,MMI,3,Basketball;Fußball;Rennrad/Mountainbike,Tischtennis,4,4,4,4,Burrito,5,Lapalux,4,4,4,5,5,3,3,3,2,2,3,4,3,2,4,4,4,4,2,5,1,3,2,3,3,4,5,4,4,4,2,3
2023/06/09 12:58:08 PM GMT+3,24,männlich,ac1306,Student*in,MMI,4,Basketball;Fußball;Football,Fußball,4,4,4,3,Pizza,4,Jack Harlow,1,1,4,4,3,2,4,4,2,2,2,3,3,3,5,2,3,4,3,5,1,4,1,4,4,4,5,3,5,4,2,3
