Alter,Als wie sportlich würdest du dich einschätzen?,Welche Rolle spielt für dich gesunde Ernährung? ,Wie gerne gehst du Essen oder Trinken?,Wie gerne kochst du selbst?,Wie gerne gehst du feiern?,Wie sehr interessierst du dich für Musik?,Wie gerne liest Du?,"Wie sehr interessierst du dich für darstellende Künste
wie Schauspiel, Tanz oder Gesang?","Wie sehr interessierst du sich für Filme, Kino, Fernsehsendungen?","Wie sehr interessierst du dich für bildende Kunst wie
Malen, Zeichnen oder Fotografie?",Wie gerne besuchst du Museen?,Wie sehr interessierst du dich für Videospiele?,Wie häufig nutzt du soziale Medien?,"Wie groß ist dein Interesse an Technologie und Innovation,
wie beispielsweise Programmierung, Robotik und Virtual Reality?","Wie groß ist dein Interesse an Astronomie, Weltraumforschung
oder astronomiebezogenen Aktivitäten?","Wie groß ist dein Interesse an Naturwissenschaften
wie Biologie, Chemie und Physik?","Wie sehr interessierst du sich für gesellschaftliches
Engagement und Freiwilligenarbeit?","Wie groß ist dein Interesse an sozialen Themen wie
Vielfalt, Gleichberechtigung und soziale Gerechtigkeit?","Würdest du dich selbst als introvertiert/extrovertiert
bezeichnen?","Hast du häufig Angst etwas zu verpassen, wenn du nicht
unter Menschen bist?","Wie … schätzt Du dich selbst ein? (1 gar nicht - 5
sehr) [spontan]","Wie … schätzt Du dich selbst ein? (1 gar nicht - 5
sehr) [verwirrt]","Wie … schätzt Du dich selbst ein? (1 gar nicht - 5
sehr) [glücklich]","Wie … schätzt Du dich selbst ein? (1 gar nicht - 5
sehr) [geduldig]","Wie … schätzt Du dich selbst ein? (1 gar nicht - 5
sehr) [streitlustig]","Wie … schätzt Du dich selbst ein? (1 gar nicht - 5
sehr) [abenteuerlustig]","Hattest du schon einmal Zweifel daran, ob du dein Studium
schaffen kannst?",Wie zufrieden bist du mit deinem Studium? ,"Strebst du nach dem Studium auch weiterhin eine akademische
Laufbahn an?",Wie gern lernst Du in der Gruppe?,"Prokrastinierst du, wenn du lernen müsstest?",Wie häufig machst du Abgaben auf den letzten Drücker?,Wie gerne probierst du neue Lebensmittel aus?,"Wie häufig verbringst du Zeit in der Natur (z. B. beim
Wandern oder Camping)?",Wie häufig verreist du?,Wie interessiert bist du an handwerklichen Tätigkeiten?,Wie gerne magst du Sprachnachrichten?,Wie wichtig ist es dir viel Geld zu verdienen?,Interesse an Basketball? (encoded),Interesse an Bouldern/Klettern? (encoded),Interesse an Football? (encoded),Interesse an Fußball? (encoded),Interesse an Handball? (encoded),Interesse an Hockey? (encoded),Interesse an Kampfsport? (encoded),Interesse an Leichtathletik? (encoded),Interesse an Rennrad/Mountainbike? (encoded),Interesse an Schwimmen? (encoded),Interesse an Tanzen? (encoded),Interesse an Tennis? (encoded),Interesse an Volleyball? (encoded),Interesse an Wassersport? (encoded),Interesse an Wintersport? (encoded),Interesse an Yoga? (encoded),Lieblingssportart Badminton? (encoded),Lieblingssportart Basketball? (encoded),Lieblingssportart Bouldern? (encoded),Lieblingssportart Fußball? (encoded),Lieblingssportart Keine Lieblingssportart? (encoded),Lieblingssportart Tischtennis? (encoded),Lieblingsessen Burger? (encoded),Lieblingsessen Döner? (encoded),Lieblingsessen Kein Lieblingsessen? (encoded),Lieblingsessen Lasagne? (encoded),Lieblingsessen Pasta? (encoded),Lieblingsessen Pfannkuchen? (encoded),Lieblingsessen Pizza? (encoded),Lieblingsessen Sushi? (encoded),Lieblingsmusiker Kein Lieblingsmusiker? (encoded),Studiengang Bmi? (encoded),Studiengang Bmt? (encoded),Studiengang Daisy? (encoded),Studiengang Mmi? (encoded),Funktion Student*In? (encoded),Genre Lieblingsmusiker Alternative? (encoded),Genre Lieblingsmusiker Electro? (encoded),Genre Lieblingsmusiker Kein Lieblingsgenre? (encoded),Genre Lieblingsmusiker Pop? (encoded),Genre Lieblingsmusiker Rap Hip Hop? (encoded),Genre Lieblingsmusiker Rock? (encoded),Geschlecht (weiblich?)
23,4,3,4,5,4,5,2,3,4,3,3,5,5,5,2,5,3,4,4,4,4,3,5,3,3,3,3,5,3,5,3,3,3,2,4,3,4,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0
24,4,4,4,4,2,3,4,2,2,2,3,4,3,5,4,4,2,1,3,2,4,2,4,3,1,4,2,4,1,2,4,4,4,4,1,2,5,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
19,5,3,5,3,1,4,5,4,5,2,4,5,5,3,4,3,2,5,2,3,2,4,4,4,2,3,5,2,2,2,5,5,3,2,2,4,5,5,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
23,4,4,4,4,2,4,1,1,3,2,2,5,5,5,4,4,1,4,2,4,3,4,5,3,2,4,5,5,1,3,5,5,5,3,3,3,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
28,3,3,4,3,4,4,5,4,4,4,4,4,3,5,4,5,4,5,3,4,3,3,3,4,2,4,2,3,5,2,4,3,4,3,3,4,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1
25,2,4,5,3,3,4,3,4,3,4,2,2,5,5,5,2,3,5,3,3,5,3,4,3,1,4,4,4,4,2,4,4,5,3,1,5,2,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
27,2,3,4,5,4,5,2,2,5,3,4,3,4,3,4,2,4,5,3,5,4,3,4,2,1,5,4,4,4,5,5,5,5,4,4,2,2,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0
25,3,3,3,4,2,4,4,2,3,3,3,4,3,4,2,2,3,4,2,2,3,4,3,3,2,2,3,3,3,5,5,5,3,2,2,2,2,3,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,1
25,4,3,3,4,2,4,5,2,5,3,3,3,3,4,2,3,3,4,2,3,3,1,4,5,2,4,2,4,1,4,3,3,4,3,3,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,1
23,3,4,5,4,4,3,2,2,4,3,2,5,5,5,2,3,3,3,4,4,3,2,4,4,2,3,3,4,2,3,2,2,4,3,3,4,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0
18,5,3,4,3,4,4,2,2,4,1,2,3,4,4,4,2,2,2,2,3,3,2,4,3,2,2,3,4,3,3,4,4,2,2,3,1,4,4,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,0
22,3,4,3,5,4,4,2,4,4,4,2,5,5,5,4,3,3,2,3,2,2,2,3,4,3,4,3,3,1,4,5,2,4,2,4,5,3,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0
22,3,5,3,5,2,3,2,1,2,4,3,5,2,5,5,4,2,2,3,2,4,2,5,3,1,5,4,3,5,3,4,3,4,5,3,2,2,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,0
28,5,5,4,4,5,5,3,1,5,1,3,1,4,4,1,2,1,1,3,2,2,1,5,4,3,4,1,4,1,3,5,5,3,4,3,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,0
24,3,4,4,4,4,5,4,4,4,5,5,3,3,3,2,2,3,4,3,2,4,4,4,4,2,5,1,3,2,3,3,4,5,4,4,4,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,0
24,4,4,4,4,3,4,1,1,4,4,3,2,4,4,2,2,2,3,3,3,5,2,3,4,3,5,1,4,1,4,4,4,5,3,5,4,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,0
29,3,4,2,4,4,2,1,1,4,1,2,4,4,5,1,3,4,4,4,4,2,3,2,5,1,2,4,4,3,3,5,4,5,2,1,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0
23,3,4,3,3,2,3,4,3,4,4,2,3,3,4,3,2,4,5,1,4,4,3,2,4,1,3,3,3,4,2,2,3,4,3,3,2,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,1
31,2,1,4,3,5,5,4,4,5,4,4,5,1,5,5,5,4,5,2,2,4,4,4,5,1,3,5,5,3,4,4,3,3,3,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,0
27,2,4,5,5,4,4,3,2,3,2,2,3,2,4,4,3,2,3,4,3,4,4,4,3,2,3,1,5,3,4,3,3,4,4,2,4,5,5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1
24,2,2,4,2,5,2,2,1,3,2,3,5,3,5,2,1,2,2,2,2,4,2,4,4,1,3,1,5,2,3,4,3,5,3,3,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,0
25,4,3,3,2,2,5,1,1,3,1,1,5,5,5,2,3,3,4,2,2,4,2,3,3,3,4,4,4,1,2,5,5,4,3,3,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,0
28,3,3,4,3,2,4,4,1,5,1,2,5,5,5,5,5,1,5,2,2,3,1,5,4,2,3,4,5,2,5,3,2,4,2,2,4,1,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
28,2,4,5,3,4,4,3,4,3,4,3,1,4,4,1,3,4,5,4,4,4,1,4,3,2,4,1,5,3,4,3,5,5,3,2,4,3,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,1
23,4,3,3,3,1,5,4,4,4,3,3,2,4,3,4,4,2,3,2,2,3,1,3,5,1,2,2,4,5,3,3,3,4,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0
20,4,4,5,3,1,3,5,2,4,4,1,3,5,4,5,3,3,5,5,5,4,1,3,4,2,4,2,4,5,5,3,5,5,2,2,4,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,0
19,2,3,4,5,3,5,2,5,5,5,4,4,5,4,2,1,5,5,4,4,4,4,5,3,1,4,3,4,2,2,4,3,5,4,3,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,1
25,2,3,1,5,1,4,2,3,3,2,2,5,3,4,4,3,1,4,2,2,2,3,3,3,1,1,5,2,1,2,5,4,4,2,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0
29,3,4,5,5,2,3,4,2,4,2,3,3,3,5,2,1,4,5,2,3,2,2,3,4,1,4,1,2,1,2,4,3,5,3,4,2,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,0
23,3,3,5,5,5,5,3,3,4,3,2,5,4,3,4,5,4,4,3,4,2,3,4,3,2,3,2,4,3,5,4,3,5,3,3,1,3,3,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0
24,2,3,3,4,1,5,4,4,3,5,3,3,1,5,2,3,4,2,3,2,3,1,5,5,1,3,1,5,3,2,2,2,3,3,4,5,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1
29,2,4,5,5,4,5,3,4,3,3,4,4,4,5,4,5,4,5,2,4,2,4,3,5,1,3,2,4,3,2,5,4,5,5,4,5,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1
23,3,4,5,5,3,5,4,3,4,3,3,2,4,3,2,1,3,3,4,3,4,2,3,3,2,5,2,3,4,4,5,5,5,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,1
28,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,2,4,4,2,4,4,3,4,2,4,3,3,2,3,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1
19,4,4,3,3,2,3,2,1,3,1,1,2,4,3,3,3,3,3,2,2,4,1,4,5,2,3,2,4,3,3,2,2,3,3,3,2,2,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
27,5,5,1,5,1,5,4,3,5,5,4,5,2,1,3,2,3,1,2,3,3,3,3,3,3,3,4,1,3,2,5,5,4,2,2,3,2,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0
29,3,5,5,3,3,4,3,3,5,3,4,5,4,4,3,3,2,4,2,2,3,2,4,3,2,3,2,4,2,2,3,3,4,4,3,4,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0
25,4,3,3,2,3,5,4,3,3,4,2,5,4,5,2,2,2,5,3,4,2,4,3,1,3,3,1,3,2,2,5,5,2,2,3,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,0
30,4,4,3,3,4,3,5,3,4,3,5,5,4,4,4,3,2,4,4,4,4,3,4,2,2,5,4,4,3,4,5,4,4,5,3,3,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,1
28,5,5,5,3,3,5,1,4,4,2,3,2,4,4,2,3,5,4,4,4,4,2,4,2,3,3,2,4,1,3,3,2,4,4,4,2,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,0
24,2,3,4,4,3,4,3,4,5,5,4,4,3,4,2,2,2,3,2,2,3,2,4,5,1,3,4,4,3,4,5,5,4,3,2,3,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,1
22,4,4,5,3,2,3,5,3,4,4,2,1,5,5,3,4,4,4,4,2,4,1,4,2,1,5,1,4,4,2,3,4,5,4,5,2,3,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1
30,4,4,3,4,4,3,4,2,2,2,3,1,3,3,4,3,4,3,3,2,4,1,4,3,2,4,4,4,2,2,2,3,5,3,3,2,2,4,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,0
22,4,3,5,5,4,5,2,3,4,4,1,1,4,3,1,2,4,3,5,1,5,1,4,3,3,4,4,3,3,5,5,3,2,3,3,4,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,0
25,5,4,3,3,2,2,4,1,2,1,1,3,2,4,4,3,2,3,2,2,3,2,4,4,1,3,2,4,1,5,3,3,2,3,2,2,4,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,0
26,1,4,4,5,2,5,3,4,5,5,5,1,4,5,2,2,3,2,2,3,4,1,5,4,1,5,1,4,1,3,2,1,4,3,2,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0
22,3,3,4,4,3,4,1,1,2,1,1,4,5,2,1,2,4,4,3,4,2,3,4,4,4,2,1,3,3,2,4,3,4,3,4,4,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,0
25,3,3,4,3,2,4,4,3,3,4,4,2,3,2,3,2,2,3,3,3,2,2,4,2,3,5,3,2,2,2,4,4,4,5,3,4,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,1
31,3,4,5,5,3,5,4,4,5,5,5,5,2,4,4,4,3,5,3,2,4,2,4,4,2,4,2,5,4,4,3,2,5,4,4,3,2,3,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,1
